word,meaning,part_of_speech,examples,meaning_vi,phonetic
balance,"
+) a state of equilibrium
+) equality between the totals of the credit and debit sides of an account
+) harmonious arrangement or relation of parts or elements within a whole (as in a design); - John Ruskin","v, n","
+) in all perfectly beautiful objects there is found the opposition of one part to another and a reciprocal balance
+) there was no remainder
+) he threw away the rest","+) cái cân
+) sự thăng bằng sự cân bằng; cán cân
+) sự cân nhắc kỹ
+) sự thăng trầm của số mệnh
+) (Balance) (thiên văn học) cung thiên bình, toà thiên bình",balance
track,"
+) a line or route along which something travels or moves
+) evidence pointing to a possible solution
+) a pair of parallel rails providing a runway for wheels","v, n","
+) the hurricane demolished houses in its path
+) the track of an animal
+) the course of the river","+) dấu, vết
+) ((thường) số nhiều) dấu chân, vết chân
+) đường, đường đi, đường hẻm
+) đường ray
+) bánh xích (xe tăng...)",path
single,"
+) a base hit on which the batter stops safely at first base
+) the smallest whole number or a numeral representing this number
+) hit a single","v, n, a, s","
+) he has the one but will need a two and three to go with it
+) they had lunch at one
+) the batter singled to left field","+) đơn, đơn độc, một mình, chỉ một
+) đơn độc, cô đơn, không vợ, không chồng, ở vậy
+) một, dù là một
+) chân thật, thành thật; kiên định
+) người không vợ, người không chồng, người độc thân; vật đơn",single
increasingly,"
+) advancing in amount or intensity",r,"
+) she became increasingly depressed",+) xem increase,increasingly
practical,"
+) concerned with actual use or practice
+) guided by practical experience and observation rather than theory
+) being actually such in almost every respect","a, s","
+) he is a very practical person
+) the idea had no practical application
+) a practical knowledge of Japanese","+) thực hành (đối với lý thuyết)
+) thực tế, thực tiễn, thực dụng; có ích, có ích lợi thực tế, thiết thực
+) đang thực hành, đang làm, đang hành nghề
+) thực tế, trên thực tế
+) trò đùa ác ý, trò chơi khăm",practical
hierarchy,"
+) a series of ordered groupings of people or things within a system
+) the organization of people at different ranks in an administrative body",n,"
+) put honesty first in her hierarchy of values","+) hệ thống cấp bậc; thứ bậc, tôn ti (trong giới tu hành công giáo, trong chính quyền, trong các tổ chức...)
+) thiên thần, các thiên thần
+) trật tự, đẳng cấp
+) h. of category trật tự của các phạm trù
+) h. of sets trật tự của các tập hợp",hierarchy
studio,"
+) workplace for the teaching or practice of an art
+) an apartment with a living space and a bathroom and a small kitchen
+) workplace consisting of a room or building where movies or television shows or radio programs are produced and recorded",n,"
+) she ran a dance studio
+) the music department provided studios for their students
+) you don't need a studio to make a passport photograph","+) xưởng vẽ, xưởng điêu khắc...
+) (số nhiều) xưởng phim
+) (rađiô) Xtuđiô",studio
usually,"
+) under normal conditions",r,"
+) usually she was late","+) thường thường, thường lệ",normally
outdated,"
+) old; no longer valid or fashionable",s,"
+) obsolete words
+) an obsolete locomotive
+) outdated equipment","+) lỗi thời, cổ",outdated
soon,"
+) in the near future",r,"
+) the doctor will soon be here
+) the book will appear shortly
+) she will arrive presently","+) chẳng bao lâu nữa, chẳng mấy chốc, một ngày gần đây; ngay
+) as soon as; so soon as ngay khi
+) thà
+) sớm
+) thà... hơn, thích hơn",soon
release,"
+) merchandise issued for sale or public showing (especially a record or film)
+) the act of liberating someone or something
+) a process that liberates or discharges something","v, n","
+) a new release from the London Symphony Orchestra
+) there was a sudden release of oxygen
+) the release of iodine from the thyroid gland","+) sự giải thoát, sự thoát khỏi (điều lo lắng, sầu muộn, bệnh tật...)
+) sự thả, sự phóng thích
+) sự phát hành (cuốn sách, bản tin); sự đưa ra bàn (một loại ô tô mới...)
+) giấy biên lai, giấy biên nhận
+) (pháp lý) sự nhượng lại; giấy nhượng lại",release
sublime,"
+) vaporize and then condense right back again
+) change or cause to change directly from a solid into a vapor without first melting
+) inspiring awe; - M.S.Dworkin; - Hamilton Basso","v, s","
+) sublime iodine
+) some salts sublime when heated
+) well-meaning ineptitude that rises to empyreal absurdity","+) hùng vĩ, uy nghi
+) siêu phàm, tuyệt vời
+) cao cả, cao siêu, cao thượng
+) (giải phẫu) nông, không sâu
+) cái hùng vĩ",sublime
seen,"
+) perceive by sight or have the power to perceive by sight
+) perceive (an idea or situation) mentally
+) perceive or be contemporaneous with",v,"
+) You have to be a good observer to see all the details
+) Can you see the bird in that tree?
+) He is blind--he cannot see","+) thấy, trông thấy, nhìn thấy; xem, quan sát, xem xét
+) xem, đọc (trang báo chí)
+) hiểu rõ, nhận ra
+) trải qua, từng trải, đã qua
+) gặp, thăm; đến hỏi ý kiến (bác sĩ, luật sư...); tiếp",see
covered,"
+) provide with a covering or cause to be covered
+) form a cover over
+) span an interval of distance, space or time","v, a","
+) cover her face with a handkerchief
+) cover the child with a blanket
+) cover the grave with flowers","+) có mái che
+) kín đáo
+) được yểm hộ (nhờ pháo binh)
+) có đội mũ
+) bị phủ",cover
ie,"
+) a commercial browser
+) that is to say; in other words","r, n","
+) ",,Internet_Explorer
monetize,"
+) give legal value to or establish as the legal tender of a country",v,"
+) They monetized the lira","+) đúc thành tiền
+) cho lưu hành làm tiền tệ",monetize
honestly,"
+) (used as intensives reflecting the speaker's attitude) it is sincerely the case that
+) in an honest manner",r,"
+) honestly, I don't believe it
+) candidly, I think she doesn't have a conscience
+) frankly, my dear, I don't give a damn","+) lương thiện
+) trung thực; chân thật, thành thật",honestly
several,"
+) (used with count nouns) of an indefinite number more than 2 or 3 but not many
+) considered individually
+) distinct and individual",s,"
+) several letters came in the mail
+) several people were injured in the accident
+) the respective club members","+) vài
+) riêng, cá nhân; khác nhau
+) vài
+) một vài; nhiều",several
challenge,"
+) a demanding or stimulating situation
+) a call to engage in a contest or fight
+) questioning a statement and demanding an explanation","v, n","
+) they reacted irrationally to the challenge of Russian power
+) his challenge of the assumption that Japan is still our enemy
+) She challenged his claims","+) (quân sự) tiếng hô &quot;đứng lại&quot; (của lính đứng gác)
+) sự thách thức
+) (pháp lý) sự không thừa nhận
+) hiệu lệnh (cho tàu thuỷ, máy bay) bắt trưng bày dấu hiệu
+) (quân sự) hô &quot;đứng lại&quot; (lính đứng gác)",challenge
worrying,"
+) the act of harassing someone
+) the act of moving something by repeated tugs or pushes
+) be worried, concerned, anxious, troubled, or uneasy","v, n, s","
+) vigorous worrying finally loosened the saw
+) I worry about my job
+) I worry about my grades","+) gây ra lo lắng cho ai, gây lo nghĩ
+) nhiều lo lắng, nhiều lo nghĩworry /'wʌri/
+) sự lo lắng; điều lo nghĩ
+) sự quấy rầy; điều làm phiền, điều khó chịu
+) sự nhạy (của chó săn)",badgering
thank,"
+) express gratitude or show appreciation to",v,"
+) ","+) cám ơn, biết ơn
+) xin, yêu cầu
+) anh làm thì anh chịu",thank
invite,"
+) a colloquial expression for invitation
+) increase the likelihood of
+) invite someone to one's house","v, n","
+) he didn't get no invite to the party
+) ask for trouble
+) invite criticism","+) mời
+) đem lại
+) lôi cuốn, hấp dẫn; gây hứng
+) đưa ra lời mời
+) lôi cuốn, hấp dẫn; gây hứng['invait]",invite
happy,"
+) enjoying or showing or marked by joy or pleasure
+) marked by good fortune
+) eagerly disposed to act or to be of service","a, s","
+) a happy smile
+) spent many happy days on the beach
+) a happy marriage","+) vui sướng, vui lòng (một công thức xã giao)
+) may mắn, tốt phúc
+) sung sướng, hạnh phúc
+) khéo chọn, rất đắt, rất đúng, tài tình (từ, thành ngữ, câu nói...); thích hợp (cách xử sự...)
+) (từ lóng) bị choáng váng, bị ngây ngất (vì bom...)",happy
welcoming,"
+) accept gladly
+) bid welcome to; greet upon arrival
+) receive someone, as into one's house","v, s","
+) I welcome your proposals
+) a welcoming smile",,welcome
thriving,"
+) grow vigorously
+) make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
+) very lively and profitable","v, s","
+) The deer population in this town is thriving
+) business is booming
+) The new student is thriving","+) sự giàu có, sự phát đạt, sự thịnh vượng
+) sự lớn lên, sự khoẻ lên, sự phát triển mạnh
+) giàu có, thịnh vượng
+) lớn mạnh, mau lớn, phát triển mạnhthrive /θraiv/
+) thịnh vượng, phát đạt",boom
stable,"
+) a farm building for housing horses or other livestock
+) shelter in a stable
+) resistant to change of position or condition","v, n, a, s","
+) stable horses
+) a stable ladder
+) a stable peace","+) vững vàng; ổn định
+) kiên định, kiên quyết
+) (vật lý) ổn định, bền
+) chuồng (ngựa, bò, trâu...)
+) đàn ngựa đua (ở một chuồng nào)",stable
slim,"
+) take off weight
+) being of delicate or slender build; - Frank Norris
+) small in quantity","v, s","
+) she was slender as a willow shoot is slender
+) a slim girl with straight blonde hair
+) watched her slight figure cross the street","+) mảnh khảnh, mảnh dẻ, thon
+) ít ỏi, sơ sài, nghèo nàn, mỏng manh
+) láu, khôn lỏi, xảo quyệt
+) làm cho người thon nhỏ (bằng cách ăn kiêng và tập thể dục)
+) trở thành thon nhỏ",reduce
flexible,"
+) capable of being changed
+) able to flex; able to bend easily
+) able to adjust readily to different conditions","a, s","
+) flexible schedules
+) slim flexible birches
+) an adaptable person","+) dẻo, mền dẻo, dễ uốn
+) dễ sai khiến, dễ thuyết phục, dễ uốn nắn
+) linh động, linh hoạt",flexible
surrounding,"
+) extend on all sides of simultaneously; encircle
+) envelop completely
+) surround so as to force to give up","v, s","
+) The forest surrounds my property
+) smother the meat in gravy
+) The Turks besieged Vienna","+) bao quanh, vây quanh
+) phụ cận
+) tấm quanh thảm (phủ khoảng sàn nhà giữa thảm và tường)
+) bao quanh, vây quanh
+) bao vây (quân địch)",surround
choice,"
+) the person or thing chosen or selected
+) the act of choosing or selecting
+) one of a number of things from which only one can be chosen","n, s","
+) he was my pick for mayor
+) your choice of colors was unfortunate
+) you can take your pick","+) sự lựa, sự chọn, sự lựa chọn
+) quyền chọn; khả năng lựa chọn
+) người được chọn, vật được chọn
+) các thứ để chọn
+) tinh hoa, phần tử ưu tú",choice
notification,"
+) an accusation of crime made by a grand jury on its own initiative
+) informing by words
+) a request for payment",n,"
+) the notification stated the grace period and the penalties for defaulting","+) sự báo, sự khai báo; sự thông báo",presentment
quality,"
+) an essential and distinguishing attribute of something or someone; --Shakespeare
+) a degree or grade of excellence or worth
+) a characteristic property that defines the apparent individual nature of something","n, s","
+) the quality of mercy is not strained
+) the quality of students has risen
+) an executive of low caliber","+) chất, phẩm chất
+) phẩm chất ưu tú, tính chất hảo hạng
+) đặc tính, nét đặc biệt; năng lực, tài năng
+) đức tính, tính tốt
+) loại, hạng",quality
direct,"
+) command with authority
+) intend (something) to move towards a certain goal
+) guide the actors in (plays and films)","v, a, r, s","
+) He directed the children to do their homework
+) He aimed his fists towards his opponent's face
+) criticism directed at her superior","+) gửi, viết để gửi cho (ai), viết cho (ai); nói với (ai), nói để nhắn (ai)
+) hướng nhắm (về phía...)
+) chỉ đường; hướng dẫn, chỉ đạo, chi phối
+) điều khiển, chỉ huy, cai quản
+) ra lệnh, chỉ thị, bảo",direct
recent,"
+) approximately the last 10,000 years
+) new
+) of the immediate past or just previous to the present time","n, s","
+) recent graduates
+) a recent addition to the house
+) recent buds on the apple trees","+) gần đây, xảy ra gần đây, mới đây, mới xảy ra
+) mới, tân thời
+) vừa qua, gần đây",Holocene
en,"
+) half the width of an em",n,"
+) ","+) N,  n (chữ cái)
+) n (đơn vị đo dòng chữ in, hẹp hơn m)",en
grew,"
+) pass into a condition gradually, take on a specific property or attribute; become
+) become larger, greater, or bigger; expand or gain
+) increase in size by natural process",v,"
+) The weather turned nasty
+) She grew angry
+) The problem grew too large for me","+) mọc, mọc lên (cây cối); mọc mầm, đâm chồi nẩy nở
+) lớn, lớn lên (người)
+) phát triển, tăng lên, lớn thêm
+) dần dần trở thành, dần dần trở nên
+) trồng (cây, hoa)",turn
strive,"
+) attempt by employing effort
+) to exert much effort or energy",v,"
+) we endeavor to make our customers happy
+) straining our ears to hear","+) cố gắng, phấn đấu
+) đấu tranh",endeavor
clear,"
+) the state of being free of suspicion
+) a clear or unobstructed space or expanse of land or water
+) rid of obstructions","v, a, r, s, n","
+) investigation showed that he was in the clear
+) finally broke out of the forest into the open
+) Clear your desk","+) trong, trong trẻo, trong sạch
+) sáng sủa, dễ hiểu
+) thông trống, không có trở ngại (đường xá)
+) thoát khỏi, giũ sạch, trang trải hết
+) trọn vẹn, toàn bộ, đủ, tròn, trọn",clear
currently,"
+) at this time or period; now",r,"
+) he is presently our ambassador to the United Nations
+) currently they live in Connecticut","+) hiện thời, hiện nay",presently
employed,"
+) put into service; make work or employ for a particular purpose or for its inherent or natural purpose
+) engage or hire for work
+) having your services engaged for; or having a job especially one that pays wages or a salary","v, a, s","
+) use your head!
+) we only use Spanish at home
+) I can't use this tool",,use
manage,"
+) be successful; achieve a goal
+) be in charge of, act on, or dispose of
+) come to terms with",v,"
+) She succeeded in persuading us all
+) I managed to carry the box upstairs
+) She pulled it off, even though we never thought her capable of it","+) quản lý, trông nom
+) chế ngự, kiềm chế; điều khiển, sai khiến, dạy dỗ, dạy bảo
+) thoát khỏi, gỡ khỏi; xoay xở được, giải quyết được
+) dùng, sử dụng
+) đạt kết quả, đạt mục đích, xoay sở được, tìm được cách",pull_off
plus,"
+) a useful or valuable quality
+) the arithmetic operation of summing; calculating the sum of two or more numbers
+) on the positive side or higher end of a scale","a, n, s","
+) the summation of four and three gives seven
+) four plus three equals seven
+) a plus value","+) cộng với
+) cộng, thêm vào
+) (toán học); (vật lý) dương (số...)
+) (thương nghiệp) ở bên có của tài khoản
+) dấu cộng",asset
helping,"
+) an individual quantity of food or drink taken as part of a meal
+) give help or assistance; be of service
+) improve the condition of","v, n","
+) the helpings were all small
+) his portion was larger than hers
+) there's enough for two servings each","+) sự giúp đỡ
+) phần thức ăn đưa mời
+) sự giúp đỡ, sự cứu giúp, sự giúp ích
+) phương cứu chữa, lối thoát
+) phần đưa mời (đồ ăn, đồ uống)",helping
mistake,"
+) a wrong action attributable to bad judgment or ignorance or inattention
+) an understanding of something that is not correct
+) part of a statement that is not correct","v, n","
+) he made a bad mistake
+) she was quick to point out my errors
+) I could understand his English in spite of his grammatical faults","+) lỗi, sai lầm, lỗi lầm
+) (thông tục) không còn nghi ngờ gì nữa
+) phạm sai lầm, phạm lỗi
+) hiểu sai, hiểu lầm
+) lầm, lầm lẫn",mistake
objective,"
+) the goal intended to be attained (and which is believed to be attainable)
+) the lens or system of lenses in a telescope or microscope that is nearest the object being viewed
+) undistorted by emotion or personal bias; based on observable phenomena","a, n, s","
+) the sole object of her trip was to see her children
+) an objective appraisal
+) objective evidence","+) khách quan
+) (thuộc) mục tiêu
+) (ngôn ngữ học) (thuộc) cách mục tiêu
+) mục tiêu, mục đích
+) (ngôn ngữ học) cách mục đích",aim
excellent,"
+) very good;of the highest quality",s,"
+) made an excellent speech
+) the school has excellent teachers
+) a first-class mind","+) hơn hẳn, trội hơn; rất tốt, thượng hạng, xuất sắc, ưu tú",excellent
conduct,"
+) manner of acting or controlling yourself
+) (behavioral attributes) the way a person behaves toward other people
+) direct the course of; manage or control","v, n","
+) You cannot conduct business like this
+) conduct an orchestra; Barenboim conducted the Chicago symphony for years
+) She carried herself well","+) hạnh kiểm, tư cách, đạo đức, cách cư xử
+) sự chỉ đạo, sự điều khiển, sự hướng dẫn; sự quản lý
+) (nghệ thuật) cách sắp đặt, cách bố cục (vở kịch, bài thơ...)
+) (quân sự) giấy ghi khuyết điểm và kỷ luật của người lính
+) dẫn tới (đường đi)",behavior
subscribe,"
+) offer to buy, as of stocks and shares
+) mark with one's signature; write one's name (on)
+) adopt as a belief",v,"
+) The broker subscribed 500 shares
+) She signed the letter and sent it off
+) Please sign here","+) (to subscribe something to something) ký (tên) vào bên dưới một văn kiện
+) (to subscribe something to something) quyên tiền; góp tiền
+) (to subscribe to something) (đồng ý) mua (báo, tạp chí...) đều đặn trong một thời gian); đặt mua dài hạn
+) (to subscribe to something) tán thành",subscribe
decided,"
+) reach, make, or come to a decision about something
+) bring to an end; settle conclusively
+) cause to decide","v, s","
+) We finally decided after lengthy deliberations
+) The case was decided
+) The judge decided the case in favor of the plaintiff","+) đã được giải quyết, đã được phân xử
+) đã được quyết định
+) kiên quyết, không do dự, dứt khoát
+) rõ rệt, không cãi được
+) giải quyết, phân xử",decide
regardless,"
+) (usually followed by `of') without due thought or consideration
+) in spite of everything; without regard to drawbacks","r, s","
+) careless of the consequences
+) crushing the blooms with regardless tread
+) he carried on regardless of the difficulties","+) không kể, không đếm xỉa tới, không chú ý tới; bất chấp",careless
synonymously,"
+) in a synonymous manner",r,"
+) the two terms are used synonymously",+) xem synonymous,synonymously
channel,"
+) a path over which electrical signals can pass
+) a passage for water (or other fluids) to flow through
+) a long narrow furrow cut either by a natural process (such as erosion) or by a tool (as e.g. a groove in a phonograph record)","v, n","
+) a channel is typically what you rent from a telephone company
+) the fields were crossed with irrigation channels
+) gutters carried off the rainwater into a series of channels under the street","+) eo biển
+) lòng sông, lòng suối
+) kênh mương, lạch; ống dẫn (nước dầu...)
+) (nghĩa bóng) đường; nguồn (tin tức, ý nghĩ, tư tưởng...)
+) (rađiô) kênh",channel
professionally,"
+) in a professional manner",r,"
+) professionally trained staff","+) thành thạo, như nhà nghề, như chuyên nghiệp",professionally
develop,"
+) make something new, such as a product or a mental or artistic creation
+) work out
+) gain through experience",v,"
+) Her company developed a new kind of building material that withstands all kinds of weather
+) They developed a new technique
+) We have developed a new theory of evolution","+) trình bày, bày tỏ, thuyết minh (luận điểm, vấn đề...)
+) phát triển, mở mang, mở rộng, khuếch trương, làm cho phát đạt
+) khai thác
+) nhiễm, tiêm nhiễm (thói quen...); ngày càng bộc lộ rõ, ngày càng phát huy (khả năng, khuynh hướng...)
+) (nhiếp ảnh) rửa (phim ảnh)",develop
viable,"
+) capable of being done with means at hand and circumstances as they are
+) capable of life or normal growth and development",s,"
+) viable seeds
+) a viable fetus","+) có thể sống được (thai nhi, cây cối...)
+) có thể nảy mầm (hạt giống)
+) có thể thành tựu được (kế hoạch)
+) có thể tồn tại, có thể đứng vững được (chính phủ)",feasible
strong,"
+) having strength or power greater than average or expected
+) not faint or feeble
+) having or wielding force or authority","a, s","
+) a strong radio signal
+) strong medicine
+) a strong man","+) bền, vững, chắc chắn, kiên cố
+) khoẻ, tráng kiện
+) mạnh; tốt
+) giỏi, có khả năng
+) đặc, nặng, mạnh",strong
sign,"
+) a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
+) a public display of a message
+) any nonverbal action or gesture that encodes a message","v, n, s","
+) he showed signs of strain
+) they welcomed the signs of spring
+) he posted signs in all the shop windows","+) dấu, dấu hiệu, ký hiệu; mật hiệu
+) dấu hiệu biểu hiện, biểu hiện, tượng trưng, điểm
+) (y học) triệu chứng
+) dấu vết (thú săn...)
+) biển hàng",sign
generation,"
+) all the people living at the same time or of approximately the same age
+) group of genetically related organisms constituting a single step in the line of descent
+) the normal time between successive generations",n,"
+) they had to wait a generation for that prejudice to fade
+) the third generation of computers
+) dams were built for the generation of electricity","+) sự sinh ra, sự phát sinh ra
+) thế hệ, đời
+) (điện học) sự phát điện
+) (Tech) thế hệ
+) sự sinh ra, sự tạo thành, thế hệ",coevals
rise,"
+) a growth in strength or number or importance
+) the act of changing location in an upward direction
+) an upward slope or grade (as in a road)","v, n","
+) the car couldn't make it up the rise
+) they cheered the rise of the hot-air balloon
+) he got a 3% raise","+) sự lên, sự đưa lên, sự kéo lên, sự dâng; lên, sự tăng lên
+) sự tăng lương
+) sự thăng (cấp bậc), sự tiến lên (địa vị xã hội...)
+) sự nổi lên để đớp mồi (cá)
+) sự trèo lên, sự leo lên (núi...)",rise
crucial,"
+) of extreme importance; vital to the resolution of a crisis
+) having crucial relevance
+) of the greatest importance","a, s","
+) a crucial moment in his career
+) a crucial election
+) a crucial issue for women","+) quyết định; cốt yếu, chủ yếu
+) (y học) hình chữ thập",crucial
chain,"
+) a series of things depending on each other as if linked together
+) (chemistry) a series of linked atoms (generally in an organic molecule)
+) a series of (usually metal) rings or links fitted into one another to make a flexible ligament","v, n","
+) the chain of command
+) a complicated concatenation of circumstances
+) the valley was between two ranges of hills","+) dây, xích
+) dãy, chuỗi, loạt
+) thước dây (để đo chiều dài); dây (chiều dài của thước dây, bằng 20m115)
+) dây chuyền (làm việc...)
+) (số nhiều) xiềng xích",chain
initiate,"
+) someone new to a field or activity
+) someone who has been admitted to membership in a scholarly field
+) people who have been introduced to the mysteries of some field or activity","v, n","
+) it is very familiar to the initiate
+) He initiated a new program
+) Start a foundation","+) người đã được vỡ lòng, người đã được khai tâm, người được bắt đầu làm quen với một bộ môn
+) người đã được làm lễ kết nạp; người đã được thụ giáo
+) đã được vỡ lòng, đã được khai tâm, đã được bắt đầu làm quen với (một bộ môn khoa học...)
+) đã được làm lễ kết nạp; đã được thụ giáo
+) bắt đầu, khởi đầu, đề xướng",novice
visiting,"
+) the activity of making visits
+) go to see a place, as for entertainment
+) go to certain places as for sightseeing","v, n","
+) the purpose was to promote homes, clubs, visiting, and other services
+) We went to see the Eiffel Tower in the morning
+) Did you ever visit Paris?","+) sự thăm hỏi, sự thăm viếng
+) đang thăm, thăm viếng
+) sự đi thăm, sự thăm hỏi, sự thăm viếng
+) sự tham quan; thời gian ở lại thăm
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) cuộc truyện trò thân mật (lúc đến thăm nhau)",visiting
meaning,"
+) the message that is intended or expressed or signified
+) the idea that is intended
+) mean or intend to express or convey","v, n, s","
+) what is the meaning of this sentence
+) the significance of a red traffic light
+) the signification of Chinese characters","+) nghĩa, ý nghĩa
+) có ý nghĩa, đầy ý nghĩa
+) ý nghĩa; ỹ nghĩa
+) geometric(al) m. ý nghĩa hình họcMean
+) (Econ) Trung bình",meaning
plenty,"
+) a full supply
+) (often followed by `of') a large number or amount or extent
+) as much as necessary; ; (`plenty' is nonstandard)","r, n","
+) there was plenty of food for everyone
+) a batch of letters
+) a deal of trouble","+) sự sung túc, sự phong phú, sự dồi dào, sự có nhiều
+) sừng dê kết hoa quả (tượng trưng cho sự phong phú)
+) (thông tục) hoàn toàn, rất lắm",plenty
painfully,"
+) unpleasantly
+) in or as if in pain",r,"
+) his ignorance was painfully obvious
+) she moved painfully forward
+) sorely wounded","+) đau đớn, đau khổ
+) buồn phiền, bối rối
+) khó khăn",painfully
associated,"
+) make a logical or causal connection
+) keep company with; hang out with
+) bring or come into association or action",v,"
+) I cannot connect these two pieces of evidence in my mind
+) colligate these facts
+) I cannot relate these events at all","+) liên kếtassociate /ə'souʃiit/
+) kết giao, kết hợp liên hợp; liên đới
+) (từ Mỹ,nghĩa Mỹ) cùng cộng tác, phụ, phó, trợ
+) bạn, bạn đồng liêu, người cùng cộng tác; đồng minh
+) hội viên thông tin, viện sĩ thông tấn (viện hàn lâm khoa học...)",associate
extracted,"
+) remove, usually with some force or effort; also used in an abstract sense
+) get despite difficulties or obstacles
+) deduce (a principle) or construe (a meaning)",v,"
+) pull weeds
+) extract a bad tooth
+) take out a splinter",,extract
encourage,"
+) contribute to the progress or growth of
+) inspire with confidence; give hope or courage to
+) spur on",v,"
+) I am promoting the use of computers in the classroom
+) His financial success encouraged him to look for a wife","+) làm can đảm, làm mạnh dạn
+) khuyến khích, cổ vũ, động viên
+) giúp đỡ, ủng hộ",promote
everyone,,,,"+) mọi người, tất cả mọi người, ai ai; mỗi người",
long,"
+) desire strongly or persistently
+) primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified
+) primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified","v, a, r, s","
+) a long life
+) a long boring speech
+) a long time","+) dài (không gian, thời gian); xa, lâu
+) kéo dài
+) cao; nhiều, đáng kể
+) dài dòng, chán
+) quá, hơn",hanker
moment,"
+) a particular point in time
+) an indefinitely short time
+) at this time",n,"
+) the moment he arrived the party began
+) wait just a moment
+) in a mo","+) chốc, lúc, lát
+) tầm quan trọng, tính trọng yếu
+) (kỹ thuật),  (vật lý) Mômen
+) mômen; thời điểm; quan trọng
+) m. of a family of curves mômen của một họ đường cong",moment
tutorial,"
+) a session of intensive tuition given by a tutor to an individual or to a small number of students
+) of or relating to tutors or tutoring","a, n","
+) tutorial sessions","+) (pháp lý) (thuộc) sự giám hộ
+) (thuộc) thầy dạy kèm
+) (thuộc) trợ lý học tập",tutorial
structured,"
+) give a structure to
+) having definite and highly organized structure
+) resembling a living organism in organization or development","v, a, s","
+) I need to structure my days
+) a structured environment
+) society as an integrated whole",,structure
beyond,"
+) farther along in space or time or degree
+) on the farther side from the observer
+) in addition",r,"
+) through the valley and beyond
+) to the eighth grade but not beyond
+) will be influential in the 1990s and beyond","+) ở xa, ở phía bên kia
+) ở bên kia
+) quá, vượt xa hơn
+) ngoài... ra, trừ...
+) (xem) compare",beyond
easier,"
+) posing no difficulty; requiring little effort
+) not hurried or forced
+) free from worry or anxiety","a, s","
+) an easy job
+) an easy problem
+) an easy victory",,easy
learner,"
+) someone (especially a child) who learns (as from a teacher) or takes up knowledge or beliefs
+) works for an expert to learn a trade",n,"
+) ","+) người học, học trò, người mới học",learner
backbone,"
+) a central cohesive source of support and stability
+) fortitude and determination
+) the series of vertebrae forming the axis of the skeleton and protecting the spinal cord",n,"
+) faith is his anchor
+) the keystone of campaign reform was the ban on soft money
+) he is the linchpin of this firm","+) xương sống
+) (nghĩa bóng) xương sống, cột trụ
+) (nghĩa bóng) nghị lực; sức mạnh
+) chính cống, hoàn toàn",anchor
knockout,"
+) a very attractive or seductive looking woman
+) a blow that renders the opponent unconscious
+) very strong or vigorous","n, s","
+) strong winds
+) a hard left to the chin
+) a knockout punch","+) cú đấm nốc ao
+) gây mê, gây ngủ
+) cuộc đấu loại trực tiếp
+) người lỗi lạc; vật bất thường
+) hạ đo ván (đánh quyền Anh)",smasher
ember,"
+) a hot fragment of wood or coal that is left from a fire and is glowing or smoldering",n,"
+) ","+) than hồng (trong đám lửa sắp tắt) ((nghĩa đen) &amp;amp; (nghĩa bóng)); đám tro tàn còn lẫn những cục than hồng
+) (động vật học) chim lặn gavia",ember
got,"
+) come into the possession of something concrete or abstract
+) enter or assume a certain state or condition
+) cause to move; cause to be in a certain position or condition",v,"
+) She got a lot of paintings from her uncle
+) They acquired a new pet
+) Get your results the next day","+) được, có được, kiếm được, lấy được
+) nhận được, xin được, hỏi được
+) tìm ra, tính ra
+) mua
+) học (thuộc lòng)",get
frame,"
+) the framework for a pair of eyeglasses
+) a single one of a series of still transparent pictures forming a cinema, television or video film
+) alternative names for the body of a human being","v, n","
+) Leonardo studied the human body
+) he has a strong physique
+) the spirit is willing but the flesh is weak","+) cấu trúc, cơ cấu; hệ thống, thứ tự
+) trạng thái
+) khung (ảnh, cửa, xe...), sườn (tàu, nhà...)
+) thân hình, tầm vóc
+) ảnh (trong một loại ảnh truyền hình)",frame
concisely,"
+) in a concise manner; in a few words",r,"
+) the history is summed up concisely in this book
+) she replied briefly
+) briefly, we have a problem","+) gãy gọn, súc tích",concisely
role,"
+) the actions and activities assigned to or required or expected of a person or group
+) an actor's portrayal of someone in a play
+) what something is used for",n,"
+) the function of a teacher
+) the government must do its part
+) play its role","+) vai, vai trò
+) vai, vai trò",function
little,"
+) a small amount or duration
+) limited or below average in number or quantity or magnitude or extent
+) (quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some","a, n, r, s","
+) he accepted the little they gave him
+) a little dining room
+) a little house","+) nhỏ bé, be bỏng
+) ngắn, ngắn ngủi
+) ít ỏi
+) nhỏ nhen, nhỏ mọn, tầm thường, hẹp hòi, ti tiện
+) (thông tục) dạ dày",little
wire,"
+) ligament made of metal and used to fasten things or make cages or fences etc
+) a metal conductor that carries electricity over a distance
+) the finishing line on a racetrack","v, n","
+) wire the addition to the house
+) The columns were wired to the beams for support
+) wire beads","+) dây (kim loại)
+) bức điện báo
+) (xem) live
+) bọc bằng dây sắt
+) buộc bằng dây sắt",wire
