word,meaning,part_of_speech,examples,phonetic,meaning_vi
linked,make a logical or causal connection,v,"I cannot connect these two pieces of evidence in my mind
colligate these facts
I cannot relate these events at all",associate,"
+) có sự nối liền; có quan hệ dòng dõi
+) có mắt xích, khâu nối
+) cố kết, liên kếtlink /liɳk/
+) đuốc, cây đuốc
+) mắt xích, vòng xích, khâu xích
+) mắt dây đạc (=  0, 20 m)
+) (số nhiều) khuy cửa tay
+) mắt lưới; mắt áo sợi dệt, mắt áo sợi đan
+) mối liên lạc; chỗ nối; vật để nối
+) nối, nối lại với nhau, kết hợp lại, liên kết lại, liên hợp lại
+) khoác (tay)
+) kết hợp, liên kết; bị ràng buộc
+) sự liên kết, sự nối
+) l. of chain (tô pô) mắt xích
+) mechanical l. (điều khiển học) liên kết cơ giới"
abstinence,the trait of abstaining (especially from alcohol),n,,abstinence,"
+) sự kiêng, sự kiêng khem, sự tiết chế (ăn uống, chơi bời...)
+) sự kiêng rượu
+) (tôn giáo) sự ăn chay, sự nhịn ăn"
compulsive,a person with a compulsive disposition; someone who feels compelled to do certain things,n,,compulsive,"
+) ép buộc, có xu hướng ép buộc"
evolve,work out,v,We have developed a new theory of evolution,evolve,"
+) mở ra ((nghĩa đen) &amp;amp; (nghĩa bóng))
+) rút ra, suy ra, luận ra, lấy ra (lý thuyết, sự kiện...)
+) (thường)(đùa cợt) tạo ra, hư cấu
+) phát ra (sức nóng...)
+) làm tiến triển; làm tiến hoá
+) tiến triển; tiến hoá
+) tiến hoá, phát triển, khai triển"
tendency,an attitude of mind especially one that favors one alternative over others,n,"he had an inclination to give up too easily
a tendency to be too strict",inclination,"
+) xu hướng, khuynh hướng"
tho,a branch of the Tai languages,n,,Tho,"
+) viết tắt của though"
factorial,the product of all the integers up to and including a given integer,n,"1, 2, 6, 24, and 120 are factorials",factorial,"
+) (thuộc) thừa số
+) (toán học) giai thừa
+) (Tech) giai thừa; thuộc thừa số
+) giai thừa; nhân tố
+) generalized f. giai thừa suy rộng"
japanese,a native or inhabitant of Japan,n,,Japanese,"
+) (thuộc) Nhật bản
+) người Nhật bản
+) tiếng Nhật bản"
turkish,a Turkic language spoken by the Turks,n,,Turkish,"
+) (thuộc) Thổ nhĩ kỳ (bằng hơi nước, chà sát và xoa bóp)
+) bánh thạch rắc đường bột
+) khăn bông xù
+) tiếng Thổ nhĩ kỳ"
minster,any of certain cathedrals and large churches; originally connected to a monastery,n,,minster,"
+) nhà thờ (của một) tu viện
+) nhà thờ lớn"
german,a person of German nationality,n,,German,"
+) (chỉ + brother,  sister,  cousin) brother german anh em ruột thịt,  sisters german chị em ruột,  cousin german anh chị em con chú bác ruột, anh chị em con cô cậu ruột
+) (German) (thuộc) Đức
+) (German) người Đức
+) (German) tiếng Đức"
french,the Romance language spoken in France and in countries colonized by France,n,,French,"
+) (thuộc) Pháp
+) đánh bài chuồn
+) tiếng Pháp
+) (the French) nhân dân Pháp"
italian,a native or inhabitant of Italy,n,,Italian,"
+) (thuộc) Y"
american,a native or inhabitant of the United States,n,,American,"
+) (thuộc) Châu Mỹ; (thuộc) nước Mỹ
+) người Châu Mỹ; người Mỹ"
inc,a heterogeneous collection of groups united in their opposition to Saddam Hussein's government of Iraq; formed in 1992 it is comprised of Sunni and Shiite Arabs and Kurds who hope to build a new government,n,,Iraqi_National_Congress,"
+) &amp;lt;thương&amp;gt; liên hợp (Incorporated)"
analyses,an investigation of the component parts of a whole and their relations in making up the whole,n,,analysis,"
+) sự phân tích
+) (vật lý),  (hoá học) phép phân tích
+) (toán học) giải tích
+) sự phân tích
+) (vật lý),  (hoá học) phép phân tích
+) (toán học) giải tích
+) (Tech) phân tích; giải tích (d)
+) giải tích; sự phân tích
+) a. of causes phân tích nguyên nhân
+) a. of convariance phân tích hiệp phương sai
+) a. of regression phân tích hồi quy
+) a. of variance phân tích phương sai
+) activity a. of production and allocation (toán kinh tế) phân tích hoạt động trong
+) sản xuất và phân phối
+) algebraic a. giải tích đại số
+) bunch map a. (thống kê) phân tích biểu đồ chùm
+) combinatory a. giải tích tổ hợp
+) component a. (thống kê) phân tích nhân tố
+) confluence a. phân tích hợp lưu
+) correlation a. phân tích tương quan
+) demand a. (toán kinh tế) phân tích nhu cầu
+) dimensional a. phân tích thứ nguyên
+) discriminatory a. (thống kê) phương pháp phân loại; phân tích phân biệt
+) economic a. (toán kinh tế) phân tích kinh tế
+) factor a. phân tích nhân tố
+) functional a. giải tích hàm
+) harmonic a. phân tích điều hoà, giải tích điều hoà
+) indeterminate a. giải tích vô định
+) infinitesimal a.giải tích vô cùng bé
+) linear a. giải tích tuyến tính
+) mathematical a. giải tích toán học
+) multivariate a. (thống kê) phân tích nhiều chiều
+) nodal a. giải tích các nút
+) numerical a. giải tích số, phương pháp tính
+) operation a. vân trù học
+) periodogram a. (thống kê) phép phân tích biểu đồ chu kỳ
+) probit a. phân tích đơn vị xác suất
+) rational a. phân tích hợp lý
+) sequential a. tk phân tích thời kỳ kế tiếp, phân tích quá trình dãy kế tiếp
+) statistic(al) a. phân tích thống kê
+) strain a. phân tích biến dạng
+) stress a. phân tích ứng suất
+) successive a. phân tích liên tiếp
+) tensorr a. (hình học) giải tích tenxơ
+) unitary a. (thống kê) phân tích phương sai
+) variance a. giải tích vectơ"
deviation,a variation that deviates from the standard or norm,n,the deviation from the mean,deviation,"
+) sự trệch, sự lệch, sự trệch hướng; (nghĩa bóng) sự sai đường, sự lạc đường, sự lạc lối, sự xa rời
+) (toán học); (vật lý) độ lệch
+) (Tech) lệch, thiên sai [TQ]; độ lệch
+) (thống kê) sự lệch, độ lệch
+) accumulated độc lệch tích luỹ
+) average d. độ lệch trung bình
+) mean d. độ lệch trung bình; độ lệch tuyệt đối
+) mean squara d. độ lệch bình phương trung bình
+) root-mean-square d. độ lệch tiêu chuẩn
+) standard d. độ lệch tiêu chuẩn, sai lệch điển hình"
variability,the quality of being subject to variation,n,,variability,"
+) tính hay thay đổi; tính hay biến đổi; tính biến thiên
+) (thống kê) [tính, độ] biến đổi"
percent,a proportion in relation to a whole (which is usually the amount per hundred),n,,percentage,"
+) phần trăm"
passable,able to be passed or traversed or crossed,a,the road is passable,passable,"
+) có thể qua lại được
+) tàm tạm
+) có thể thông qua được (đạo luật...)
+) có thể lưu hành, có thể đem tiêu (tiền...)"
concerning,be relevant to,v,"There were lots of questions referring to her talk
My remark pertained to your earlier comments",refer,"
+) về việcconcern /kən'sə:n/
+) (+ with) sự liên quan tới, sự dính líu tới
+) (+ in) lợi, lợi lộc; phần, cổ phần
+) việc, chuyện phải lo
+) sự lo lắng, sự lo âu, sự lo ngại; sự quan tâm
+) hãng buôn, xí nghiệp; công việc kinh doanh
+) (thông tục) cái, vật (gì)
+) không biết gì đến, không quan tâm gì đến
+) liên quan, dính líu tới; nhúng vào
+) lo lắng, băn khoăn; quan tâm
+) về việc, đối với
+) về phần tôi, đối với tôi
+) liên quan, quan hệ"
female,an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa),n,,female,"
+) cái, mái
+) (thuộc) đàn bà con gái, nữ
+) yếu, nhạt, mờ
+) (kỹ thuật) có lỗ để lắp, có lỗ để tra
+) (động vật học) con cái, con mái
+) (thực vật học) gốc cái; cây cái
+) (từ hiếm,nghĩa hiếm) người đàn bà, người phụ nữ
+) (thông tục) con mụ, con mẹ"
graphical,relating to or presented by a graph,a,a graphic presentation of the data,graphic,"
+) (từ hiếm,nghĩa hiếm) (như) graphic"
tabular,of or pertaining to or arranged in table form,a,,tabular,"
+) xếp thành bảng, xếp thành cột
+) phẳng như bàn, phẳng như bảng
+) thành phiến, thành tấm mỏng
+) bảng, dạng bảng"
preprocessing,,,,,"
+) (kỹ thuật) xử lý trước"
surf,waves breaking on the shore,n,,surf,"
+) sóng nhào
+) (thể dục,thể thao) lướt sóng"
technological,based in scientific and industrial progress,s,a technological civilization,technological,"
+) (thuộc) kỹ thuật, có tính chất kỹ thuật
+) (thuộc) công nghệ học"
comes,the thick white fluid containing spermatozoa that is ejaculated by the male genital tract,n,,semen,"
+) mạch máu chạy dọc dây thần kinhcome /kʌm/
+) đến, tới, đi đến, đi tới, đi lại
+) sắp đến, sắp tới
+) xảy ra, xảy đến
+) thấy, ở, thấy ở
+) nên, thành ra, hoá ra, trở nên, trở thành
+) hình thành; đặc lại, đông lại (nước xốt, tiết canh...)
+) (lời mệnh lệnh) nào! nào, nào!; thế, thế!
+) (từ lóng) hành động, làm, xử sự
+) xảy ra, xảy đến
+) đối chiếu
+) tình cờ gặp, bắt gặp, tình cờ thấy
+) theo sau, đi theo
+) nối dòng, nối nghiệp, kế nghiệp, kế thừa
+) trở lại
+) đụng phải, va phải
+) tách ra, lìa ra, rời ra, bung ra
+) đạt tới, đến được, nắm được, thấy
+) xổ vào, xông vào (tấn công)
+) đi xa, đi khỏi, rời khỏi
+) lìa ra, rời ra, bung ra
+) quay lại, trở lại (địa vị, quyền lợi...)
+) được, nhớ lại
+) (từ Mỹ,nghĩa Mỹ),  (từ lóng) đáp lại, cãi lại
+) đứng giữa (làm môi giới, điều đình)
+) can thiệp vào, xen vào
+) qua, đi qua
+) có được, kiếm được, vớ được
+) xuống, đi xuống
+) được truyền lại, được để lại (phong tục, tập quán, truyền thống...)
+) sụp đổ (nhà cửa...)
+) sa sút, suy vị, xuống dốc
+) mắng nhiếc, xỉ vả; trừng phạt
+) đòi tiền; đòi bồi thường
+) xuất tiền, trả tiền, chi
+) đứng ra, xung phong
+) đi vào, trở vào
+) (thể dục,thể thao) về đích (chạy đua)
+) được tuyển, được bầu; lên nắm quyền
+) vào két, nhập két, thu về (tiền)
+) lên, dâng (thuỷ triều); bắt đầu (mùa)
+) thành mốt, thành thời trang
+) tỏ ra
+) có phần, được hưởng phần
+) ngắt lời, chận lời, nói chặn
+) to come into the world ra đời; to come into power nắm chính quyền; to come into being (existence) hình thành, ra đời; to come into fashion thành mốt; to come into force (effect) có hiệu lực; to come into notice làm cho phải chú ý
+) được hưởng, thừa hưởng
+) do... mà ra, bởi... mà ra; là kết quả của
+) xuất thân từ
+) bong ra, róc ra, rời ra, bật ra
+) thoát khỏi vòng khó khăn, xoay xở xong
+) được thực hiện, được hoàn thành
+) (thông tục) come off it! thôi câm mồm đi! thôi đi, đừng có nói như vậy!; thôi đừng có dở cái giọng ấy ra nữa!
+) đi tiếp, đi tới
+) tiến lên, tới gần
+) nổi lên thình lình (gió, bão), phát ra thình lình (bệnh); tiến bộ, tiếp tục phát triển, mau lớn (cây, đứa bé...)
+) được đem ra thảo luận (vấn đề, dự luật...)
+) được trình diễn trên sân khấu
+) ra sân khấu (diễn viên)
+) ra toà
+) ra, đi ra
+) đình công
+) vượt khỏi (thử thách với ít nhiều thành công)
+) lộ ra ((nghĩa đen) &amp;amp; (nghĩa bóng))
+) được xuất bản; ra (sách, báo)
+) được xếp (trong kỳ thi)
+) mới ra đời; mới lên sân khấu lần đầu
+) vượt (biển), băng (đồng...)
+) sang phe, theo phe
+) choán, trùm lên (người nào)
+) đi nhanh, đi vòng
+) hồi phục (sức khoẻ sau trận ốm); hồi tỉnh, tỉnh lại (sau cơn ngất, sau khi bị đánh thuốc mê); nguôi đi, dịu đi (sau cơn giận...)
+) trở lại, quay lại, tới (có định kỳ)
+) tạt lại chơi
+) thay đổi hẳn ý kiến, thay đổi hẳn quan điểm
+) đến, đi đến
+) hồi tỉnh, tỉnh lại; tỉnh trí lại; tỉnh ngộ
+) thừa hưởng, được hưởng
+) lên tới
+) (hàng hải) bỏ neo; dừng lại (tàu)
+) rơi vào loại, nằn trong loại
+) rơi vào, chịu (ảnh hưởng)
+) tới gần, đến gần (ai, một nơi nào)
+) được nêu lên, được đặt ra (vấn đề để thảo luận)
+) (từ hiếm,nghĩa hiếm) thành mốt
+) lên tới, đạt tới, theo kịp, bắt kịp
+) vào đại học
+) tấn công bất thình lình, đột kích
+) chợt gặp, bắt gặp, chợt thấy
+) chợt nảy ra trong óc, chợt có ý nghĩ
+) là một gánh nặng cho, đè lên đầu (ai); yêu cầu đòi hỏi, bắt chịu trách nhiệm
+) chợt nảy ra ý nghĩ
+) (xem) cropper
+) (thông tục) đi nào; mau lên, nhanh lên
+) thú nhận, nói hết
+) không có gì khó khăn đối với ai
+) trở về nhà, trở lại nhà
+) gây ấn tượng, được hiểu rõ, có hiệu lực, có hiệu quả; đánh trúng, đánh trúng vào chỗ yếu, chạm nọc
+) đến gần, suýt nữa
+) đến tuổi trưởng thành
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) đừng có làm bộ làm tịch nữa!, đừng có lên râu nữa!
+) muốn nói gì thì nói đi!
+) đúng (tính...)
+) thu xếp, ổn thoả, thu xếp xong xuôi
+) không đạt được, thất bại
+) thiếu, không đủ đáp ứng yêu cầu
+) đến trước thì được giải quyết trước, đến trước thì được phục vụ trước
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) thế nào?, sao?
+) thật là một vố đau cho nó"
continual,occurring without interruption; chiefly restricted to what recurs regularly or frequently in a prolonged and closely spaced series,a,the continual banging of the shutters,continual,"
+) liên tục, liên miên
+) contunuan"
duration,the period of time during which something continues,n,,duration,"
+) thời gian, khoảng thời gian (tồn tại của một sự việc)
+) (Tech) thời khoảng, thời gian; trường độ
+) khoảng thời gian
+) d. of selection thời gian chọn
+) averge d. of life (thống kê) tuổi thọ trung bình
+) digit d. khoảng thời gian của một chữ số
+) pulse d. bề rộng của xung
+) reading d. thời gian đọc"
morbidity,the relative incidence of a particular disease,n,,morbidity,"
+) (như) morbidness
+) sự hoành hành của bệnh tật"
searching,"try to locate or discover, or try to establish the existence of",v,"The police are searching for clues
They are searching for the missing man in the entire county",search,"
+) sự tìm kiếm, sự lục soát
+) sự hối hận; sự lo sợ
+) kỹ lưỡng, thấu đáo, triệt để, sâu sắc (sự khám xét, sự quan sát...)
+) xuyên vào, thấu vào, thấm thía
+) (điều khiển học) sự tìm
+) random s. sự tìm ngẫu nhiênsearch /sə:tʃ/
+) sự nhìn để tìm, sự sờ để tìm; sự khám xét, sự lục soát
+) sự điều tra, sự nghiên cứu
+) đang đi tìm cái gì
+) đi tìm ai
+) nhìn để tìm, sờ để tìm; khám xét, lục soát
+) dò, tham dò
+) điều tra
+) bắn xuyên vào tận ngách (hầm...)
+) (từ cổ,nghĩa cổ) tìm tòi, tìm cho ra
+) tìm tòi
+) tìm thấy
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) nào tôi có biết!, làm sao mà tôi biết được!
+) tìm tòi, nghiên cứu
+) s. out tìm thấy"
reported,to give an account or representation of in words,v,Discreet Italian police described it in a manner typically continental,report,"
+) (ngôn ngữ học) gián tiếp
+) bản báo cáo; biên bản
+) bản tin, bản dự báo; phiếu thành tích học tập (hằng tháng hoặc từng học kỳ của học sinh)
+) tin đồn
+) tiếng tăm, danh tiếng
+) tiếng nổ (súng...)
+) kể lại, nói lại, thuật lại
+) báo cáo, tường trình
+) viết phóng sự (về vấn đề gì)
+) đồn, đưa tin, nói về (ai), phát biểu về (ai)
+) báo, trình báo, tố cáo, tố giác
+) trình diện (sau một thời gian vắng)
+) đến nhận công tác (sau khi xin được việc)"
meant,mean or intend to express or convey,v,"You never understand what I mean!
what do his words intend?",mean,"
+) khoảng giữa, trung độ, trung gian, trung dung
+) (toán học) giá trị trung bình; số trung bình
+) (số nhiều) ((thường) dùng như số ít) phương tiện, kế, biện pháp, cách
+) (số nhiều) của, của cải, tài sản, khả năng (kinh tế)
+) bằng đủ mọi cách, bằng bất cứ cách nào, bằng bất cứ giá nào
+) tất nhiên, dĩ nhiên, chắc chắn
+) bằng đủ mọi cách tốt hay xấu
+) bằng cách
+) chẳng chút nào, quyết không, hẳn không, tuyệt nhiên không
+) bằng cách này hay cách khác
+) trung bình, vừa, ở giữa
+) (toán học) trung bình
+) thấp kém, kém cỏi, tầm thường
+) tối tân, tiều tuỵ, tang thương, khốn khổ
+) hèn hạ, bần tiện, bủn xỉn
+) (thông tục) xấu hổ thầm
+) (từ Mỹ,nghĩa Mỹ),  (từ lóng) cừ, chiến
+) (từ Mỹ,nghĩa Mỹ),  (từ lóng) hắc búa
+) nghĩa là, có nghĩa là
+) muốn nói
+) định, có ý định, muốn, có ý muốn
+) dự định, để cho, dành cho
+) có ý nghĩa lớn, đáng giá, đáng kể
+) có ác ý
+) có ý tốt đối với ai
+) làm sao anh chứng minh được điều đóMean
+) (Econ) Trung bình
+) Một số đo thường được sử dụng để tính xu hướng tập trung của một biến số, có thể dùng để tính cho một mẫu nhất định hoặc toàn bộ tổn thể.mean /mi:n/
+) khoảng giữa, trung độ, trung gian, trung dung
+) (toán học) giá trị trung bình; số trung bình
+) (số nhiều) ((thường) dùng như số ít) phương tiện, kế, biện pháp, cách
+) (số nhiều) của, của cải, tài sản, khả năng (kinh tế)
+) bằng đủ mọi cách, bằng bất cứ cách nào, bằng bất cứ giá nào
+) tất nhiên, dĩ nhiên, chắc chắn
+) bằng đủ mọi cách tốt hay xấu
+) bằng cách
+) chẳng chút nào, quyết không, hẳn không, tuyệt nhiên không
+) bằng cách này hay cách khác
+) trung bình, vừa, ở giữa
+) (toán học) trung bình
+) thấp kém, kém cỏi, tầm thường
+) tối tân, tiều tuỵ, tang thương, khốn khổ
+) hèn hạ, bần tiện, bủn xỉn
+) (thông tục) xấu hổ thầm
+) (từ Mỹ,nghĩa Mỹ),  (từ lóng) cừ, chiến
+) (từ Mỹ,nghĩa Mỹ),  (từ lóng) hắc búa
+) nghĩa là, có nghĩa là
+) muốn nói
+) định, có ý định, muốn, có ý muốn
+) dự định, để cho, dành cho
+) có ý nghĩa lớn, đáng giá, đáng kể
+) có ác ý
+) có ý tốt đối với ai
+) làm sao anh chứng minh được điều đó
+) trung bình // giá trị trugn bình; phương tiện; phương pháp by all
+) m.s bằng mọi cách; by any m.s bằng bất kỳ cách nào; by m.s of gián
+) tiếp, bằng phương pháp; by no m.s không có cách nào; in the m. ở (mức)
+) trung bình
+) m. of a function (giải tích) giá trị trung bình của hàm
+) m. of observation trung bình quan trắc
+) arithmetic m. trung bình cộng
+) assumed m. trung bình giả định
+) asymptotic(al) m. trung bình tiệm cận
+) class m. số trung bình trong lớp
+) combinatorial power m. (thống kê) trung bình luỹ thừa tổ hợp
+) controlling m. phươgn tiện [điều khiển, điều chỉnh]
+) engaging m.s (máy tính) phương tiện cho chạy
+) geometric m. trung bình nhân
+) harmonic m. trung bình điều hoà
+) measuring m.s (máy tính) phương tiện đo lường
+) modified m. trung bình cải biên
+) population m. kỳ vọng lý thuyết
+) power m. (thống kê) trung bình luỹ thừa
+) pulse generating m. (máy tính) thiết bị máy phát xung
+) quadratic m. (thống kê) bình phương trung bình
+) sample m. trung bình mẫu
+) true m. trung bình chân thực
+) universe m. kỳ vọng lý thuyết; giá trị trung bình của tập hợp tổng quát,
+) trung bình tổng quát
+) unweighted m. (toán kinh tế) trung bình không có trọng lượng
+) weight m.s trung bình có trọng lượng"
license,a legal document giving official permission to do something,n,,license,"
+) cho phép; cấp giấy phép, cấp môn bài, cấp đăng ký
+) sự cho phép; giấy phép, môn bài, đăng ký
+) bằng, chứng chỉ
+) bằng cử nhân
+) sự phóng túng, sự bừa bâi; sự dâm loạn
+) (thơ ca) sự phóng túng về niêm luật"
attribution,assigning some quality or character to a person or thing,n,"the attribution of language to birds
the ascription to me of honors I had not earned",attribution,"
+) sự quy ra
+) quyền hành ban cho; quyền lực, thẩm quyền"
commons,a piece of open land for recreational use in an urban area,n,they went for a walk in the park,park,"
+) dân chúng, những người bình dân
+) đồ ăn ăn chung; bàn ăn chung
+) khẩu phần ăn hằng ngày theo giá qui định (đại học Ôc-phớt và Căm-brít)
+) thức ăn hằng ngàycommon /'kɔmən/
+) chung, công, công cộng
+) thường, thông thường, bình thường, phổ biến, phổ thông
+) tầm thường; thô tục
+) đất công
+) quyền được hưởng trên đất đai của người khác
+) sự chung, của chung
+) (từ cổ,nghĩa cổ) những người bình dân, dân chúng
+) cùng với, cũng như, giống như
+) đặc biệt khác thường
+) (Tech) chung; tập thể; thuờng
+) chung, thường"
distributed,"administer or bestow, as in small portions",v,"administer critical remarks to everyone present
dole out some money
shell out pocket money for the children",distribute,"
+) được phân bổ theo một kiểu nào đó
+) được phân phối, được phân bốdistribute /dis'tribju:t/
+) phân bổ, phân phối, phân phát
+) rắc, rải
+) sắp xếp, xếp loại, phân loại
+) (ngành in) bỏ (chữ in) (dỡ chữ xếp vào từng ô)
+) phân phối, phân bố"
viewing,the display of a motion picture,n,,screening,"
+) sự xem phim
+) sự kiểm tra hình ảnhview /vju:/
+) sự nhìn, sự thấy, tầm nhìn, tầm mắt
+) cái nhìn thấy, cảnh, quang cảnh
+) dịp được xem, cơ hội được thấy
+) quan điểm, nhận xét, ý kiến, cách nhìn
+) dự kiến, ý định
+) (pháp lý) sự khám xét tại chỗ, sự thẩm tra tại chỗ
+) thấy, nhìn, xem, quan sát
+) nhìn, xét, nghĩ về
+) dạng; phép chiếu
+) in v. of theo, chú ý...
+) auxiliary v. (hình học) pháp chiếu phụ
+) front v. nhìn từ trước, hình chiếu từ trước
+) principal v. (hình học) phép chiếu chính
+) rear v. nhìn từ sau
+) side v. (hình học) nhìn từ một bên, nhìn ngang"
removed,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract",v,"remove a threat
remove a wrapper
Remove the dirty dishes from the table",remove,"
+) xa, xa cách, khác biệt
+) (xem) cousinremove /ri'mu:v/
+) món ăn tiếp theo (sau một món khác)
+) sự lên lớp
+) lớp chuyển tiếp (trong một số trường ở Anh)
+) khoảng cách, sự khác biệt
+) dời đi, di chuyển, dọn, cất dọn
+) bỏ ra, tháo ra
+) cách chức, đuổi
+) lấy ra, đưa ra, rút ra...
+) tẩy trừ (tham nhũng...), tẩy, xoá bỏ, loại bỏ
+) giết, thủ tiêu, khử đi
+) làm hết (đau đớn), xua đuổi sạch (sự sợ hãi, mối nghi ngờ...)
+) bóc (niêm phong)
+) (y học) cắt bỏ
+) (y học) tháo (băng)
+) dời đi xa, đi ra, tránh ra xa
+) dọn nhà, đổi chỗ ở
+) bỏ đi, khử"
isolation,a state of separation between persons or groups,n,,isolation,"
+) sự cô lập
+) (y học) sự cách ly
+) (điện học) sự cách
+) (hoá học) sự tách ra"
inadequate,lacking the requisite qualities or resources to meet a task,a,"inadequate training
the staff was inadequate
she was unequal to the task",inadequate,"
+) không tương xứng, không xứng, không thích đáng, không thoả đáng
+) không đủ, không đầy đủ, thiếu
+) (từ Mỹ,nghĩa Mỹ) không thể thích nghi đầy đủ với xã hội; không trưởng thành được về tâm lý"
lives,a characteristic state or mode of living,n,"social life
city life
real life",life,"
+) sự sống
+) đời sống, sinh mệnh, tính mệnh
+) đời, người đời
+) cuộc sống, sự sinh sống, sự sinh tồn
+) cách sống, đời sống, cách sinh hoạt
+) sinh khí, sinh lực, sự hoạt động
+) tiểu sử, thân thế
+) tuổi thọ, thời gian tồn tại
+) nhân sinh
+) vật sống; biểu hiện của sự sống
+) (xem) large
+) thoát được an toàn
+) để thoát chết
+) dù chết
+) làm cho hồi tỉnh
+) hồi tỉnh, hồi sinh
+) chưa bao giờ vui thích thoải mái như thế
+) xã hội thượng lưu, xã hội tầng lớp trên
+) lúc sinh thời
+) lúc tuổi thanh xuân
+) (xem) see
+) (xem) single
+) giết ai
+) tự tử, tự sát, tự vẫn
+) truyền thần, như thậtlife /laif/
+) sự sống
+) đời sống, sinh mệnh, tính mệnh
+) đời, người đời
+) cuộc sống, sự sinh sống, sự sinh tồn
+) cách sống, đời sống, cách sinh hoạt
+) sinh khí, sinh lực, sự hoạt động
+) tiểu sử, thân thế
+) tuổi thọ, thời gian tồn tại
+) nhân sinh
+) vật sống; biểu hiện của sự sống
+) (xem) large
+) thoát được an toàn
+) để thoát chết
+) dù chết
+) làm cho hồi tỉnh
+) hồi tỉnh, hồi sinh
+) chưa bao giờ vui thích thoải mái như thế
+) xã hội thượng lưu, xã hội tầng lớp trên
+) lúc sinh thời
+) lúc tuổi thanh xuân
+) (xem) see
+) (xem) single
+) giết ai
+) tự tử, tự sát, tự vẫn
+) truyền thần, như thậtlive /liv /
+) sống
+) ở, trú tại
+) thoát nạn (tàu thuỷ)
+) sống
+) thực hiện được (trong cuộc sống)
+) kiếm sống bằng
+) để thời gian làm quên đi, để thời gian làm xoá nhoà
+) phá tan, làm mất đi bằng thái độ cư xử đứng đắn (thành kiến, lỗi lầm...)
+) ở nơi làm việc; ở ngay trong khu làm việc
+) sống bằng
+) sống sót
+) sống qua được (người ốm)
+) sống ở ngoài nơi làm việc
+) sống sót, trải qua
+) sống theo
+) sống với, sống chung với; chịu đựng, đành chịu (cái gì)
+) sống dè xẻn
+) (xem) clover
+) sống hai cuộc đời, đóng hai vai trò khác nhau trong cuộc sống
+) (xem) fast
+) sống lần hồi, kiếm ngày nào ăn ngày nấy
+) sống cực khổ
+) (xem) high
+) sống dĩ hoà vi quí, sống đèn nhà ai người ấy ráng, sống mũ ni che tai
+) sống giản dị và bình lặng
+) ăn ngon[laiv]
+) sống, hoạt động
+) (đùa cợt) thực (không phải ở trong tranh hay là đồ chơi)
+) đang cháy đỏ
+) chưa nổ, chưa cháy
+) đang quay
+) có dòng điện chạy qua
+) tại chỗ, trong lúc sự việc xảy ra
+) mạnh mẽ, đầy khí lực
+) nóng hổi, có tính chất thời sự
+) sống, tồn tại // hoạt; sinh thực"
handled,"be in charge of, act on, or dispose of",v,"I can deal with this crew of workers
This blender can't handle nuts
She managed her parents' affairs after they got too old",manage,"
+) có cán (dùng trong tính từ ghép)handle /'hændl/
+) cán, tay cầm, móc quai
+) (nghĩa bóng) điểm người ta có thể lợi dụng được
+) chức tước, danh hiệu
+) (thông tục) mất bình tĩnh, không tự chủ được nữa, thình lình nổi nóng
+) (đùa cợt) cái mũi
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) hoàn toàn, đầy đủ, hết sức
+) cầm, sờ mó
+) vận dụng, sử dụng, điều khiển (bằng tay)
+) đối xử, đối đãi
+) luận giải, nghiên cứu, bàn về (một vấn đề)
+) quản lý, xử lý; chỉ huy, điều khiển (công việc, người...)
+) (thương nghiệp) buôn bán (một số mặt hàng...)
+) cán, tay cầm, tay lái // điều khiển; sử dụng quay lại"
deleted,remove or make invisible,v,Please delete my name from your list,delete,"
+) bị bỏ đidelete /di'li:t/
+) gạch đi, xoá đi, bỏ đi
+) gạch, bỏ đi"
nationally,with regard to a nation taken as a whole,r,a nationally uniform culture,nationally,"
+) về mặt dân tộc; về mặt quốc gia
+) toàn quốc"
